Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,Concentration [ppm],Concentration [mol/L]=[M],Wavelength
2023_05_04_12_55_22_635570,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,1.879861831665039,1,1.345295961267849,3.843702746479569e-05,1579.9900199600756
2023_05_04_12_55_24_070512,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,3.3148043155670166,1,1.1531108239437813,3.294602354125089e-05,1579.9900199600756
2023_05_04_12_55_25_502242,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,4.7465338706970215,1,1.499044071126939,4.282983060362683e-05,1579.9900199600756
2023_05_04_12_55_26_903893,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,6.14818549156189,1,0.3843702746479245,1.0982007847083558e-05,1579.9900199600756
2023_05_04_12_55_28_322141,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,7.566432952880859,1,0.6918664943662425,1.9767614124749785e-05,1579.9900199600756
2023_05_04_12_55_29_753857,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,8.998149394989014,1,0.4612443295775386,1.3178409416501101e-05,1579.9900199600756
2023_05_04_12_55_31_185058,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,10.42935037612915,1,0.19218513732399492,5.491003923542712e-06,1579.9900199600756
2023_05_04_12_55_32_589959,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,11.834250926971436,1,0.07687405492961026,2.196401569417436e-06,1579.9900199600756
2023_05_04_12_55_34_020096,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,13.26438808441162,1,0.7687405492959221,2.1964015694169202e-05,1579.9900199600756
2023_05_04_12_55_35_436763,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,14.681054830551147,1,1.6912292084509337,4.8320834527169535e-05,1579.9900199600756
2023_05_04_12_55_36_871933,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,16.116225481033325,1,0.19218513732392958,5.491003923540845e-06,1579.9900199600756
2023_05_04_12_55_38_285657,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,17.529948949813843,1,0.8840516316903066,2.5258618048294476e-05,1579.9900199600756
2023_05_04_12_55_39_726088,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,18.97038006782532,1,1.2684219063382352,3.624062589537815e-05,1579.9900199600756
2023_05_04_12_55_41_345600,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,20.58989191055298,1,0.5765554119719233,1.647301177062638e-05,1579.9900199600756
