Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,Concentration [ppm],Concentration [%],Concentration [mol/L]=[M],Wavelength
2023_05_10_13_00_25_154722,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,0.6473219394683838,1,-0.001008199410845178,-10.081994108451779,-2.880569745271937e-08,1487.475049900189
2023_05_10_13_00_33_679880,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,9.28060531616211,1,0.21135525830985424,2113.5525830985425,6.038721665995836e-06,1487.475049900189
2023_05_10_13_00_42_213529,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,17.808297634124756,1,0.09591642576811063,959.1642576811063,2.7404693076603037e-06,1487.475049900189
2023_05_10_13_00_50_740571,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,26.339756727218628,1,0.2350937717106576,2350.9377171065757,6.716964906018789e-06,1487.475049900189
2023_05_10_13_00_59_282425,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,34.86692142486572,1,0.15127573887268647,1512.7573887268647,4.322163967791042e-06,1487.475049900189
2023_05_10_13_01_07_812480,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,43.41183137893677,1,0.192199469503801,1921.9946950380101,5.491413414394314e-06,1487.475049900189
2023_05_10_13_01_16_343153,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,51.94203758239746,1,0.07034482252940719,703.4482252940719,2.009852072268777e-06,1487.475049900189
2023_05_10_13_01_24_868432,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,60.47481894493103,1,0.22084149822098642,2208.4149822098643,6.309757092028183e-06,1487.475049900189
2023_05_10_13_01_33_398230,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,68.99661660194397,1,0.14311848909403221,1431.1848909403222,4.08909968840092e-06,1487.475049900189
2023_05_10_13_01_41_927116,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,77.5276608467102,1,0.11305581575247414,1130.5581575247413,3.230166164356404e-06,1487.475049900189
2023_05_10_13_01_50_575702,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,86.05752205848694,1,0.08963809307330356,896.3809307330356,2.561088373522959e-06,1487.475049900189
2023_05_10_13_01_59_111553,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,94.70088696479796,1,0.12332111884471356,1233.2111884471356,3.523460538420387e-06,1487.475049900189
2023_05_10_13_02_07_633719,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,103.23905515670776,1,0.21855013592361172,2185.5013592361174,6.244289597817477e-06,1487.475049900189
2023_05_10_13_02_16_168125,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,111.76293230056764,1,0.2575032949789836,2575.032949789836,7.357236999399532e-06,1487.475049900189
2023_05_10_13_02_24_700122,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,120.29742741584778,1,0.1949491042606509,1949.491042606509,5.569974407447168e-06,1487.475049900189
2023_05_10_13_02_33_245117,,1500,50,78.56MHz,8,HIGH2,1nm <0.820nm>,128.8253095149994,1,0.17070649115442466,1707.0649115442466,4.877328318697847e-06,1487.475049900189
