Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,Concentration [ppm],Concentration [%],Concentration [mol/L]=[M],Wavelength
2023_05_16_19_51_57_841869,hi,1500,50,29.19MHz,40,MID,1nm <0.820nm>,0.0,1,-10985.960956551397,-1.0985960956551397,-0.30946368891694076,1524.9001996007564
2023_05_16_19_51_58_857719,hi,1500,50,29.19MHz,40,MID,1nm <0.820nm>,1.0158498287200928,1,-10811.766714689076,-1.0811766714689077,-0.304556808864481,1524.9001996007564
2023_05_16_19_51_59_873318,hi,1500,50,29.19MHz,40,MID,1nm <0.820nm>,2.0314488410949707,1,-28379.497736809226,-2.8379497736809225,-0.7994224714594148,1524.9001996007564
2023_05_16_19_52_00_888744,hi,1500,50,29.19MHz,40,MID,1nm <0.820nm>,3.046875238418579,1,-29689.35952932784,-2.9689359529327843,-0.8363199867416293,1524.9001996007564
2023_05_16_19_52_01_904574,hi,1500,50,29.19MHz,40,MID,1nm <0.820nm>,4.062705039978027,1,-11624.398244598458,-1.162439824459846,-0.3274478378760129,1524.9001996007564
2023_05_16_19_52_02_920192,hi,1500,50,29.19MHz,41,MID,1nm <0.820nm>,0.0,1,2719.2938169067243,0.27192938169067243,0.07659982582835843,1524.9001996007564
2023_05_16_19_52_03_935622,hi,1500,50,29.19MHz,41,MID,1nm <0.820nm>,1.015429973602295,1,-12171.580533624843,-1.2171580533624844,-0.34286142348238996,1524.9001996007564
2023_05_16_19_52_04_951443,hi,1500,50,29.19MHz,41,MID,1nm <0.820nm>,2.0312507152557373,1,-3864.9982964654496,-0.38649982964654495,-0.10887319144973097,1524.9001996007564
2023_05_16_19_52_05_967068,hi,1500,50,29.19MHz,41,MID,1nm <0.820nm>,3.0468759536743164,1,26.296949191343614,0.0026296949191343616,0.0007407591321505244,1524.9001996007564
2023_05_16_19_52_06_982693,hi,1500,50,29.19MHz,41,MID,1nm <0.820nm>,4.062501192092896,1,-4582.78725046672,-0.458278725046672,-0.12909259860469635,1524.9001996007564
2023_05_16_19_52_07_998316,hi,1500,50,29.19MHz,42,MID,1nm <0.820nm>,0.0,1,-3237.0631133851143,-0.3237063113385114,-0.09118487643338351,1524.9001996007564
2023_05_16_19_52_09_013944,hi,1500,50,29.19MHz,42,MID,1nm <0.820nm>,1.0156280994415283,1,-21142.42776057714,-2.114242776057714,-0.5955613453683701,1524.9001996007564
2023_05_16_19_52_10_029568,hi,1500,50,29.19MHz,42,MID,1nm <0.820nm>,2.0312516689300537,1,-15986.235372282048,-1.5986235372282047,-0.4503164893600577,1524.9001996007564
2023_05_16_19_52_11_045195,hi,1500,50,29.19MHz,42,MID,1nm <0.820nm>,3.0468788146972656,1,-2655.3701232101193,-0.26553701232101196,-0.07479915840028505,1524.9001996007564
2023_05_16_19_52_12_060622,hi,1500,50,29.19MHz,42,MID,1nm <0.820nm>,4.062305212020874,1,-38042.57011799702,-3.804257011799702,-1.0716216934647047,1524.9001996007564
2023_05_16_19_52_13_076444,hi,1500,50,4.910MHz,40,MID,1nm <0.820nm>,0.0,1,19598.821768842827,1.9598821768842827,0.5520794864462768,1524.9001996007564
2023_05_16_19_52_14_092081,hi,1500,50,4.910MHz,40,MID,1nm <0.820nm>,1.0156371593475342,1,54.870976565029146,0.005487097656502914,0.001545661311690962,1524.9001996007564
2023_05_16_19_52_15_107706,hi,1500,50,4.910MHz,40,MID,1nm <0.820nm>,2.0312623977661133,1,29825.7888797131,2.98257888797131,0.8401630670341719,1524.9001996007564
2023_05_16_19_52_16_123149,hi,1500,50,4.910MHz,40,MID,1nm <0.820nm>,3.046705484390259,1,17193.737071194286,1.7193737071194286,0.4843306217237827,1524.9001996007564
2023_05_16_19_52_17_131757,hi,1500,50,4.910MHz,40,MID,1nm <0.820nm>,4.055312633514404,1,6659.035339179367,0.6659035339179367,0.18757846025857372,1524.9001996007564
2023_05_16_19_52_18_147574,hi,1500,50,4.910MHz,41,MID,1nm <0.820nm>,0.0,1,-19464.814854133376,-1.9464814854133377,-0.5483046437784049,1524.9001996007564
2023_05_16_19_52_19_163207,hi,1500,50,4.910MHz,41,MID,1nm <0.820nm>,1.0156328678131104,1,-7714.859615846763,-0.7714859615846763,-0.21731998917878204,1524.9001996007564
2023_05_16_19_52_20_178820,hi,1500,50,4.910MHz,41,MID,1nm <0.820nm>,2.031245946884156,1,1581.6671744125654,0.15816671744125654,0.044554004913030014,1524.9001996007564
2023_05_16_19_52_21_194450,hi,1500,50,4.910MHz,41,MID,1nm <0.820nm>,3.0468759536743164,1,-12141.51656941756,-1.2141516569417559,-0.34201455125119884,1524.9001996007564
2023_05_16_19_52_22_210075,hi,1500,50,4.910MHz,41,MID,1nm <0.820nm>,4.062501192092896,1,-36891.34924738327,-3.6891349247383265,-1.0391929365460075,1524.9001996007564
