Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,Concentration [ppm],Concentration [%],Concentration [mol/L]=[M],Wavelength
2023_05_26_19_59_20_548511,,1525,20,29.19MHz,6,HIGH2,1nm <0.820nm>,0.0010137557983398,1,-41.724266636454324,-0.004172426663645433,-0.0011753314545480092,1534.9600798403026
2023_05_26_19_59_21_561622,,1525,20,29.19MHz,6,HIGH2,1nm <0.820nm>,1.0141243934631348,1,69.77285233473654,0.006977285233473654,0.0019654324601334236,1534.9600798403026
2023_05_26_19_59_22_564159,,1525,20,29.19MHz,6,HIGH2,1nm <0.820nm>,2.016662120819092,1,-216.53622471382417,-0.021653622471382417,-0.006099611963769695,1534.9600798403026
2023_05_26_19_59_23_577846,,1525,20,29.19MHz,6,HIGH2,1nm <0.820nm>,3.030348539352417,1,-391.95098185712607,-0.03919509818571261,-0.011040872728369748,1534.9600798403026
2023_05_26_19_59_24_580607,,1525,20,29.19MHz,7,HIGH2,1nm <0.820nm>,0.0,1,-5.628148271291064,-0.0005628148271291063,-0.00015853938792369194,1534.9600798403026
2023_05_26_19_59_25_595940,,1525,20,29.19MHz,7,HIGH2,1nm <0.820nm>,1.0153324604034424,1,-753.3223166615635,-0.07533223166615635,-0.021220346948213058,1534.9600798403026
2023_05_26_19_59_26_611213,,1525,20,29.19MHz,7,HIGH2,1nm <0.820nm>,2.0306060314178467,1,-82.0689607230977,-0.008206896072309771,-0.0023118017105097943,1534.9600798403026
2023_05_26_19_59_27_627621,,1525,20,29.19MHz,7,HIGH2,1nm <0.820nm>,3.047013521194458,1,-755.0021840096092,-0.07550021840096093,-0.02126766715520026,1534.9600798403026
2023_05_26_19_59_28_629194,,1525,20,19.64MHz,6,HIGH2,1nm <0.820nm>,0.0,1,-601.9000586117619,-0.06019000586117619,-0.016954931228500336,1534.9600798403026
2023_05_26_19_59_29_644306,,1525,20,19.64MHz,6,HIGH2,1nm <0.820nm>,1.0151119232177734,1,59.485242591169964,0.005948524259116996,0.001675640636370985,1534.9600798403026
2023_05_26_19_59_30_655422,,1525,20,19.64MHz,6,HIGH2,1nm <0.820nm>,2.0262277126312256,1,-603.5644974048354,-0.060356449740483535,-0.017001816828305222,1534.9600798403026
2023_05_26_19_59_31_669466,,1525,20,19.64MHz,6,HIGH2,1nm <0.820nm>,3.0402722358703613,1,169.91934005537897,0.016991934005537897,0.004786460283250112,1534.9600798403026
2023_05_26_19_59_32_672127,,1525,20,19.64MHz,7,HIGH2,1nm <0.820nm>,0.0,1,-368.96510437333694,-0.0368965104373337,-0.010393383221784139,1534.9600798403026
2023_05_26_19_59_33_682932,,1525,20,19.64MHz,7,HIGH2,1nm <0.820nm>,1.010805368423462,1,-5.674240087559017,-0.0005674240087559017,-0.00015983774894532443,1534.9600798403026
2023_05_26_19_59_34_698740,,1525,20,19.64MHz,7,HIGH2,1nm <0.820nm>,2.026613712310791,1,-305.3204134991055,-0.030532041349910548,-0.008600575028143816,1534.9600798403026
2023_05_26_19_59_35_713373,,1525,20,19.64MHz,7,HIGH2,1nm <0.820nm>,3.0412464141845703,1,-348.1104549754769,-0.03481104549754769,-0.009805928309168363,1534.9600798403026
