Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,Concentration [ppm],Concentration [%],Concentration [mol/L]=[M],Wavelength
2023_07_26_16_34_25_182819,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,0.5214896202087402,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
2023_07_26_16_34_27_049723,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,2.140279531478882,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
2023_07_26_16_34_29_006142,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,4.125250816345215,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_30_622827,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,6.013674259185791,1,2007.066540287594,0.2007066540287594,0.05653708564190406,1524.9001996007564
2023_07_26_16_34_32_419107,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,7.630285263061523,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_34_122468,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,9.42689561843872,1,2007.066540287594,0.2007066540287594,0.05653708564190406,1524.9001996007564
2023_07_26_16_34_35_877826,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,11.110009670257568,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_37_759124,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,12.94537615776062,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_39_584059,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,14.76669692993164,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_41_282799,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,16.61162567138672,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_42_997453,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,18.18025684356689,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
2023_07_26_16_34_44_849349,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,20.06491255760193,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_46_486273,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,21.855287551879883,1,1999.7900934515974,0.19997900934515975,0.0563321153084957,1524.9001996007564
2023_07_26_16_34_49_173681,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,23.533687829971317,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_34_50_978833,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,26.241069555282596,1,2007.066540287594,0.2007066540287594,0.05653708564190406,1524.9001996007564
2023_07_26_16_34_52_735927,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,28.00639843940735,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
2023_07_26_16_35_03_483230,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,29.593327283859253,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
2023_07_26_16_35_06_038120,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,40.55071830749512,1,2007.066540287594,0.2007066540287594,0.05653708564190406,1524.9001996007564
2023_07_26_16_35_07_694417,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,43.0656533241272,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_35_09_351825,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,44.681803941726685,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
2023_07_26_16_35_12_777114,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,46.43745255470276,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
2023_07_26_16_35_14_612778,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,49.85465335845947,1,1997.595132215946,0.1997595132215946,0.05627028541453369,1524.9001996007564
2023_07_26_16_35_18_001039,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,51.648653745651245,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_35_19_847193,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,55.06849598884583,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_35_21_482518,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,56.80477666854858,1,2015.9365891165976,0.20159365891165976,0.05678694617229852,1524.9001996007564
2023_07_26_16_35_23_124827,,1500,50,78.56MHz,9,MID,1nm <0.820nm>,58.43985652923584,1,2007.5776956438415,0.20075776956438415,0.056551484384333564,1524.9001996007564
