Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,188.2367,188.7057,189.1734,189.6398,190.1049,190.5688,191.0313,191.4927,191.9528,192.4118,192.8695,193.3261,193.7815,194.2358,194.6889,195.1409,195.5918,196.0416,196.4904,196.9381,197.3848,197.8304,198.275,198.7186,199.1612,199.6029,200.0436,200.4833,200.9221,201.36,201.797,202.2331,202.6683,203.1026,203.5361,203.9688,204.4006,204.8316,205.2618,205.6913,206.1199,206.5478,206.9749,207.4013,207.8269,208.2519,208.6761,209.0997,209.5226,209.9448,210.3663,210.7872,211.2075,211.6271,212.0462,212.4646,212.8825,213.2998,213.7165,214.1327,214.5483,214.9634,215.3779,215.792,216.2056,216.6186,217.0312,217.4433,217.855,218.2662,218.677,219.0873,219.4973,219.9068,220.3159,220.7247,221.133,221.541,221.9486,222.3559,222.7628,223.1694,223.5757,223.9817,224.3873,224.7927,225.1978,225.6026,226.0071,226.4114,226.8154,227.2191,227.6226,228.0259,228.429,228.8319,229.2345,229.637,230.0393,230.4414,230.8433,231.245,231.6466,232.0481,232.4494,232.8505,233.2515,233.6524,234.0532,234.4539,234.8545,235.255,235.6554,236.0557,236.4559,236.8561,237.2562,237.6562,238.0562,238.4562,238.8561,239.256,239.6558,240.0556,240.4554,240.8553,241.255,241.6548,242.0546,242.4545,242.8543,243.2541,243.654,244.0539,244.4539,244.8538,245.2539,245.6539,246.0541,246.4543,246.8545,247.2548,247.6552,248.0557,248.4562,248.8569,249.2576,249.6584,250.0593,250.4603,250.8614,251.2626,251.6639,252.0653,252.4669,252.8685,253.2703,253.6722,254.0742,254.4764,254.8786,255.2811,255.6836,256.0863,256.4891,256.8921,257.2953,257.6985,258.1019,258.5055,258.9092,259.3131,259.7172,260.1214,260.5257,260.9302,261.3349,261.7398,262.1448,262.5499,262.9553,263.3608,263.7665,264.1723,264.5783,264.9845,265.3909,265.7974,266.2041,266.611,267.0181,267.4253,267.8327,268.2403,268.648,269.0559,269.464,269.8723,270.2807,270.6893,271.0981,271.507,271.9161,272.3254,272.7348,273.1444,273.5542,273.9641,274.3742,274.7845,275.1949,275.6055,276.0162,276.4271,276.8381,277.2493,277.6606,278.0721,278.4837,278.8955,279.3074,279.7194,280.1316,280.5439,280.9563,281.3689,281.7816,282.1944,282.6073,283.0203,283.4335,283.8467,284.2601,284.6736,285.0871,285.5008,285.9145,286.3284,286.7423,287.1563,287.5704,287.9845,288.3987,288.813,289.2274,289.6418,290.0562,290.4707,290.8852,291.2998,291.7144,290.1859,290.6004,291.0149,291.4295
2023_05_04_12_55_22_635570,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,1.879861832,1,1057,1089,1076,1061,1040,1092,1054,1080,1078,1074,1092,1083,1092,1077,1083,1078,1095,1106,1094,1111,1079,1117,1087,1113,1115,1127,1122,1139,1156,1179,1189,1203,1247,1270,1297,1390,1387,1425,1497,1518,1523,1583,1638,1692,1783,1869,1877,1991,2044,2067,2144,2258,2325,2452,2611,2712,2793,2882,2974,3087,3180,3282,3469,3465,3639,3968,3975,4176,4254,4443,4582,4805,4992,5121,5417,5603,5814,6130,6262,6550,6817,7105,7561,7939,8437,9106,9782,10870,11849,12972,14173,15319,16313,17292,17828,17780,18755,19264,19596,19584,19270,18747,18148,17392,16540,15873,15143,14440,14226,13756,13536,13289,12776,12825,12774,12498,12568,12706,12696,12811,13095,13756,14093,14540,15015,15625,16140,16334,16900,17115,17616,18116,18331,18300,18739,18866,18956,19073,19374,19423,19281,19216,19110,18559,18245,17860,17424,16935,16223,15678,15026,14508,13965,13403,12975,12539,12296,12102,11915,11893,11863,12024,12231,12413,12762,12929,13118,13521,13832,14273,14440,14461,14614,14632,14648,14278,13932,13685,13348,12890,12615,12250,11990,11812,11561,11161,11013,10941,10884,10952,11106,11088,11350,11422,11596,11847,11954,12215,12283,12622,12757,12721,12757,12877,13083,13104,13276,13200,13382,13331,13466,13386,13504,13555,13645,13607,13743,13870,14039,14216,14287,14495,14649,14697,14892,15259,15233,15646,15782,15992,16165,16316,16597,16547,16680,16790,16880,17080,17235,17252,17223,17480,17498,17567,17582,17737,17764,17977,18139,18245,18382,18542,18780,18929,19138
,,,,78.56MHz,6,,,,,1076,1084,1075,1080,1051,1092,1074,1099,1076,1079,1084,1087,1079,1090,1101,1084,1087,1107,1105,1102,1098,1113,1097,1122,1123,1131,1144,1152,1161,1167,1195,1234,1240,1284,1311,1401,1417,1424,1470,1521,1522,1598,1662,1743,1784,1903,1969,1989,2033,2144,2161,2280,2396,2520,2592,2708,2810,2926,2938,3124,3216,3363,3401,3623,3800,3946,4113,4082,4257,4494,4601,4854,5055,5274,5531,5730,5899,6151,6353,6573,6861,7293,7505,8026,8414,9124,9928,10964,12009,13229,14332,15364,16624,17632,18006,17940,19206,19618,19914,20099,19220,19097,18173,17599,16887,16040,15208,14662,14357,13853,13614,13326,13143,12778,12882,12711,12757,12703,12841,13019,13277,13766,14133,14832,15285,15756,16169,16602,17044,17434,17770,18370,18503,18612,18741,18919,19207,19331,19596,19666,19601,19429,19241,18876,18501,18186,17696,17170,16494,15832,15227,14720,14079,13477,13190,12865,12404,12239,12060,12145,12012,12102,12529,12670,12800,13138,13375,13664,14139,14268,14587,14703,14862,14865,14692,14429,14237,13689,13414,13106,12798,12370,12008,11949,11535,11357,11093,10992,10926,11047,11086,11232,11396,11591,11741,12013,12196,12292,12483,12698,12696,12908,12880,12939,13165,13280,13386,13462,13595,13472,13444,13557,13489,13697,13680,13878,13762,14046,14228,14382,14433,14557,14871,14940,15025,15412,15642,15683,15954,16176,16136,16305,16513,16721,16858,16930,17030,17240,17280,17437,17425,17507,17652,17642,17890,17982,18011,18244,18421,18417,18633,18681,18816,19036,19298
,,,,78.56MHz,6,,,,,1071,1087,1083,1076,1058,1095,1079,1095,1084,1077,1079,1081,1071,1096,1090,1089,1100,1105,1100,1099,1100,1108,1090,1104,1109,1132,1134,1151,1172,1170,1176,1197,1219,1290,1329,1384,1380,1457,1499,1512,1546,1588,1662,1719,1774,1863,1898,2033,2057,2093,2163,2263,2352,2494,2650,2713,2835,2880,3001,3123,3188,3283,3404,3568,3713,3894,4085,4162,4254,4452,4617,4820,5029,5185,5410,5718,5962,6102,6330,6689,6923,7247,7475,8037,8372,9199,9901,10877,11786,13004,14183,15338,16464,17513,17886,17967,19157,19712,19952,19859,19327,19008,18226,17630,16729,16081,15260,14687,14343,13946,13686,13206,12989,12871,12739,12745,12731,12720,12715,12837,13440,13645,14356,14723,15258,15586,16234,16528,16929,17373,17809,18305,18390,18598,18840,18818,19050,19267,19575,19588,19453,19425,19467,19041,18502,18048,17504,16985,16394,15665,15136,14616,14050,13559,13184,12824,12430,12223,11951,12068,11902,12045,12317,12637,12808,13235,13308,13652,14010,14312,14617,14630,14838,14689,14708,14368,14123,13597,13226,13140,12696,12349,12058,11793,11562,11316,11106,11037,10938,10895,11118,11343,11470,11591,11745,11855,12021,12277,12457,12654,12633,12840,12898,13012,13125,13270,13240,13417,13472,13484,13441,13522,13492,13722,13782,13810,13877,14058,14077,14315,14437,14484,14811,14934,15047,15334,15442,15639,15947,16051,16177,16563,16527,16641,16815,16888,16943,17253,17220,17219,17368,17549,17584,17654,17739,17840,18016,18182,18287,18263,18502,18670,18741,19107,19135
,,,,78.56MHz,6,,,,,1068,1072,1067,1081,1041,1078,1064,1079,1078,1086,1081,1084,1075,1083,1095,1076,1104,1107,1103,1097,1088,1104,1093,1109,1098,1138,1142,1154,1170,1169,1183,1209,1225,1297,1338,1353,1400,1404,1452,1499,1516,1570,1632,1736,1807,1906,1917,1984,1996,2135,2151,2292,2346,2488,2655,2737,2812,2931,3014,3113,3202,3376,3451,3633,3780,3895,4026,4173,4330,4408,4585,4861,4936,5111,5442,5792,5964,6168,6423,6475,6944,7254,7578,7897,8441,9104,9915,10943,12040,13090,14270,15493,16535,17508,17935,18085,19060,19603,19948,19937,19724,19000,18343,17566,16686,16066,15380,14761,14181,13921,13579,13302,13094,12838,12882,12653,12761,12837,12891,12919,13250,13838,14292,14627,15149,15653,16193,16598,17013,17396,17808,18246,18453,18420,19028,19106,19155,19460,19492,19672,19621,19345,19256,19030,18544,18174,17588,17142,16509,15868,15231,14686,14013,13656,12990,12867,12373,12308,12008,12183,11989,12144,12326,12562,12863,13028,13158,13773,14069,14329,14532,14707,14934,14756,14826,14604,14171,13665,13442,13137,12732,12325,12226,11923,11562,11336,11096,11069,10827,11089,11102,11192,11490,11501,11748,11879,12062,12189,12380,12636,12809,12977,12978,13012,13156,13096,13280,13369,13464,13480,13448,13526,13524,13584,13592,13852,13923,14062,14088,14318,14508,14425,14595,14754,14961,15222,15574,15737,15859,16078,16231,16327,16554,16865,16735,16875,16933,17171,17260,17397,17495,17458,17589,17634,17974,17893,18043,18030,18335,18267,18542,18743,18929,18975,19259
,,,,78.56MHz,6,,,,,1072,1085,1086,1075,1050,1102,1074,1099,1075,1063,1093,1101,1073,1087,1081,1090,1092,1102,1089,1098,1093,1112,1107,1112,1125,1148,1136,1143,1150,1178,1170,1214,1249,1293,1281,1381,1415,1424,1492,1504,1568,1541,1648,1722,1806,1858,1926,2024,2019,2121,2221,2245,2354,2499,2640,2676,2868,2935,2953,3054,3214,3396,3423,3606,3731,3885,4048,4197,4315,4441,4722,4872,5106,5205,5420,5705,6030,6097,6280,6580,6802,7261,7534,7970,8634,9135,9976,10909,11885,13233,14173,15494,16676,17632,18060,18188,19223,19784,19892,20178,19502,18993,18268,17594,16661,16115,15188,14882,14165,13840,13749,13242,13107,12976,12926,12910,12721,12779,12780,13003,13319,13810,14201,14826,15133,15591,16247,16600,16961,17440,17733,18391,18412,18712,18824,19010,19183,19546,19678,19822,19569,19453,19431,18889,18549,18214,17644,17121,16586,15914,15233,14724,14094,13477,13031,12830,12504,12285,12012,12129,12051,12190,12352,12568,12990,13095,13335,13666,13990,14371,14487,14689,14871,14841,14719,14423,14168,13891,13454,13085,12849,12482,12157,11805,11618,11400,11215,11080,10952,10979,11194,11367,11482,11620,11687,11949,12213,12315,12414,12583,12850,12882,13005,13179,13139,13331,13275,13558,13593,13473,13639,13399,13745,13576,13710,13829,13891,14168,14370,14275,14592,14713,14738,14919,15029,15266,15562,15781,15959,15982,16337,16405,16474,16797,17007,17104,17226,17119,17404,17325,17468,17643,17691,17700,17858,18004,18015,18139,18402,18375,18426,18727,18839,19313,19387
,,,,78.56MHz,6,,,,,1062,1089,1079,1086,1045,1091,1074,1097,1069,1074,1083,1089,1078,1080,1077,1075,1086,1095,1090,1100,1087,1111,1091,1107,1122,1131,1143,1151,1143,1163,1185,1207,1217,1267,1307,1368,1387,1434,1473,1521,1542,1589,1623,1738,1836,1911,1950,1967,2047,2098,2207,2211,2325,2471,2629,2709,2787,2822,2979,3098,3154,3361,3411,3575,3701,3863,4034,4111,4255,4492,4615,4819,5051,5251,5536,5799,5997,6083,6275,6560,6989,7266,7483,7933,8330,9170,9867,10903,11878,13045,14303,15469,16515,17583,17948,18251,19016,19671,19977,19856,19387,19146,18401,17654,16792,16051,15171,14810,14325,13994,13683,13181,13179,12812,12729,12751,12646,12711,12872,12888,13341,13839,14243,14672,15238,15718,16105,16649,16870,17313,17729,18158,18338,18615,18810,18984,19139,19383,19441,19637,19584,19429,19417,19080,18612,18074,17754,17074,16386,15848,15151,14763,13923,13547,13084,12825,12495,12321,12127,12118,11906,12209,12344,12619,12875,12959,13378,13744,14045,14397,14543,14769,14878,14710,14648,14399,14136,13781,13523,13150,12705,12418,12152,11861,11653,11390,11121,11112,10934,11028,11205,11316,11464,11643,11804,11870,12102,12206,12441,12654,12891,12733,12935,13018,13217,13271,13396,13525,13599,13538,13519,13438,13630,13597,13591,13869,13919,14033,14222,14321,14420,14559,14806,14991,15062,15282,15483,15699,15853,16199,16375,16473,16553,16658,16935,16925,16966,17208,17389,17433,17456,17545,17578,17674,17748,17812,17950,18219,18407,18538,18620,18683,18871,19055,19317
,,,,78.56MHz,6,,,,,1053,1085,1071,1077,1059,1106,1060,1067,1070,1081,1083,1080,1095,1079,1068,1081,1092,1087,1087,1108,1082,1110,1085,1109,1114,1123,1121,1138,1146,1163,1171,1214,1223,1289,1329,1371,1395,1417,1436,1512,1517,1595,1622,1722,1786,1792,1915,1965,2051,2067,2162,2233,2246,2459,2567,2617,2724,2799,2909,3007,3140,3252,3399,3564,3653,3784,3902,4105,4206,4376,4428,4651,4832,5045,5338,5550,5665,6004,6132,6331,6743,6956,7360,7830,8219,8887,9730,10548,11681,12907,13833,15029,16166,17118,17611,17630,18598,19121,19371,19421,18985,18377,17960,17147,16292,15706,14908,14236,13883,13544,13125,12902,12682,12479,12406,12312,12293,12383,12491,12541,12970,13396,13847,14321,14906,15153,15642,16229,16496,16867,17250,17787,17942,18326,18425,18461,18683,18905,19113,19098,19216,18923,18878,18540,18125,17652,17033,16665,16096,15524,14822,14202,13612,13060,12802,12435,12129,11872,11786,11719,11667,11786,12010,12253,12535,12875,13021,13165,13666,13755,14151,14338,14496,14537,14487,14189,13727,13456,13082,12717,12366,12105,11792,11595,11222,11053,10742,10702,10563,10657,10814,11097,11049,11347,11412,11625,11814,11862,12049,12340,12420,12485,12705,12736,12742,12810,13016,13066,13186,13131,13085,13240,13087,13237,13327,13486,13550,13659,13798,13921,14103,14149,14293,14519,14618,14943,15116,15332,15479,15611,15763,16008,16072,16285,16307,16571,16604,16734,16900,16911,17091,17120,17295,17312,17423,17295,17556,17709,17896,17773,18047,18212,18328,18540,18716
,,,,78.56MHz,6,,,,,1063,1087,1084,1085,1046,1099,1059,1088,1078,1073,1077,1079,1080,1085,1080,1084,1083,1100,1094,1096,1082,1105,1100,1103,1122,1133,1126,1148,1165,1181,1190,1209,1226,1278,1322,1391,1380,1443,1465,1519,1557,1580,1673,1756,1807,1882,1920,1990,2066,2129,2143,2220,2337,2495,2644,2723,2816,2898,2925,3062,3213,3336,3413,3606,3653,3838,3948,4164,4283,4398,4559,4790,5010,5169,5447,5667,5987,6037,6340,6513,6817,7141,7576,7942,8464,9020,9886,10936,11945,13118,14250,15385,16348,17534,17859,18029,18794,19574,19737,19717,19320,18901,18283,17426,16814,15984,15102,14703,14275,13835,13658,13287,13009,12855,12865,12563,12493,12682,12691,12918,13247,13824,14289,14651,15221,15737,16048,16412,16687,17218,17732,18086,18450,18539,18849,18790,19105,19329,19633,19504,19427,19328,19258,18848,18444,18003,17498,17011,16416,15762,15189,14609,13867,13438,12959,12800,12492,12135,12129,11955,11928,12074,12257,12518,12641,12940,13215,13506,14025,14300,14340,14651,14797,14666,14590,14408,14033,13796,13457,13075,12586,12356,11968,11880,11509,11129,11144,10994,10938,10980,11074,11168,11277,11629,11614,11929,12070,12262,12404,12629,12714,12833,12881,13098,13224,13285,13270,13326,13351,13364,13456,13447,13395,13521,13598,13836,13873,14075,14092,14251,14386,14536,14495,14998,15063,15239,15418,15699,15675,15981,16269,16357,16501,16587,16740,16834,16878,17132,17283,17326,17367,17505,17578,17575,17811,17911,18016,18291,18375,18267,18587,18616,18757,19005,19131
,,,,78.56MHz,6,,,,,1060,1087,1058,1088,1050,1100,1069,1083,1072,1077,1086,1088,1075,1082,1088,1089,1096,1097,1091,1110,1094,1100,1114,1105,1105,1131,1138,1157,1170,1166,1175,1211,1218,1283,1329,1391,1359,1469,1449,1510,1521,1593,1648,1712,1779,1856,1958,2054,2056,2115,2118,2275,2341,2486,2579,2723,2781,2934,3019,3127,3193,3358,3423,3619,3725,3882,4005,4187,4337,4450,4635,4862,5039,5328,5457,5727,5935,6165,6392,6574,6871,7221,7500,8102,8475,9117,9876,10950,11989,13089,14188,15392,16431,17440,18094,18160,19300,19795,20032,19863,19636,19054,18449,17638,16757,16154,15257,14790,14253,13966,13723,13362,13169,12886,12785,12763,12809,12824,12831,12962,13403,13868,14372,14817,15253,15681,16320,16776,17080,17464,17712,18516,18598,18744,18860,19006,19196,19369,19720,19706,19495,19368,19352,19032,18669,18221,17770,17090,16582,15746,15330,14671,14075,13523,13141,12815,12491,12215,12131,11994,12109,12121,12265,12711,12885,13248,13334,13850,14017,14328,14464,14699,14823,14822,14642,14494,14137,13867,13507,13101,12603,12490,12081,11861,11604,11285,11323,11094,10902,10972,11150,11233,11289,11633,11788,11925,12126,12290,12420,12650,12718,12919,12899,13130,13219,13305,13449,13383,13369,13437,13444,13560,13595,13732,13766,13872,13906,14095,14224,14273,14314,14651,14723,14892,15002,15407,15519,15733,15980,16083,16319,16339,16544,16774,16885,17063,17049,17336,17393,17354,17387,17404,17650,17728,17889,17913,18042,18327,18324,18300,18392,18871,18849,19080,19168
