Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,Concentration [ppm],Concentration [%],Concentration [mol/L]=[M],Wavelength
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,0.0,1,192.71872682926843,1927187.2682926843,0.005506249337979098,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,1.0,1,154.97587804878287,1549758.7804878287,0.004427882229965225,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,2.0,1,164.84319512195162,1648431.9512195163,0.004709805574912904,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,3.0,1,170.7857219512216,1707857.219512216,0.0048795920557491886,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,4.0,1,162.86605365853876,1628660.5365853875,0.004653315818815393,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,5.0,1,182.72101951219508,1827210.195121951,0.005220600557491288,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,6.0,1,200.7510000000002,2007510.000000002,0.005735742857142863,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,7.0,1,180.72712682927047,1807271.2682927048,0.005163632195122014,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,8.0,1,186.71444390244017,1867144.4390244016,0.005334698397212576,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,9.0,1,188.7139804878063,1887139.804878063,0.005391828013937323,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,9.9995,1,176.7449658536591,1767449.6585365909,0.005049856167247403,188.2367
2023_05_10_13_00_25_154722,,241.6548,50,78.56MHz,8,HIGH2,1nm <0.820nm>,11.0,1,133.42820487805136,1334282.0487805137,0.003812234425087182,188.2367
