Date,Comment,CF,SPAN,REP_RATE,POWER,Start Power (I0),End Power (I),Time Interval,SAMPLINGS_NUMBER,Concetration [ppm],Wavelength
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,1,2,-26.888605762249153,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,2,2,-26.77653935752433,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,3,2,-25.5358155404639,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,4,2,-27.06216163986191,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,5,2,-25.33617571012337,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,6,2,-25.274942692736225,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,7,2,-25.79815577782333,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,8,2,-27.585003357129683,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,0,2,-26.417595742042586,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,1,2,-25.770788866970435,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,2,2,-26.826453558211117,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,3,2,-25.32683227112606,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,4,2,-26.314943594624726,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,5,2,-25.879210829196058,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,6,2,-27.34371166266458,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,7,2,-25.812008549709336,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,0,2,-26.370229828678468,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,1,2,-25.043345399177447,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,2,2,-26.914186039509538,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,3,2,-25.09673038307664,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,4,2,-26.68200012051883,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,5,2,-27.574645995311766,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,6,2,-25.62595919824396,1475.125
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,7,2,-25.944728736704672,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,0,2,-26.74998794883325,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,1,2,-24.947230330272276,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,2,2,-27.274214437525522,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,3,2,-27.592351943787584,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,4,2,-25.11690691967131,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,5,2,-26.487931648961982,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,6,2,-27.185413462734573,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,7,2,-27.414633741824538,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,0,2,-26.861673355870916,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,1,2,-26.335142272545088,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,2,2,-25.865123015784157,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,3,2,-26.49134632075213,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,4,2,-27.052631776749628,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,5,2,-25.588263851414492,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,6,2,-27.46668007351239,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,7,2,-26.20744882887258,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,0,2,-25.010890138091984,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,1,2,-26.519384207066448,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,2,2,-25.69949079532433,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,3,2,-26.668151564411506,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,4,2,-25.96642232640594,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,5,2,-26.88075714694469,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,6,2,-25.67856017750244,1475.125
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,7,2,-25.006486469349657,1475.125
