Date,Comment,CF,SPAN,REP_RATE,POWER,Start Power (I0),End Power (I),Time Interval,SAMPLINGS_NUMBER,1475,1475.025,1475.05,1475.075,1475.1,1475.125,1475.15,1475.175,1475.2,1475.225
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,1,2,0,0,0,0,-9.605261049999996,-18.503765290000004,-13.408531670000002,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,2,2,0,0,0,0,-9.178136940000002,-18.581208099999998,-14.267258049999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,3,2,0,0,0,0,-8.345651259999997,-19.48402428,-13.482999480000004,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,4,2,0,0,0,0,-9.531109509999993,-18.385096379999993,-13.049593759999993,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,5,2,0,0,0,0,-9.017419259999997,-19.637551290000005,-13.433465549999994,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,6,2,0,0,0,0,-8.481090750000007,-19.685126729999993,-14.071299769999996,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,7,2,0,0,0,0,-9.704653489999998,-19.285892149999995,-13.745571620000007,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,6,True,True,8,2,0,0,0,0,-9.782943369999998,-18.036628219999997,-13.933611119999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,0,2,0,0,0,0,-8.776828339999994,-18.833676420000003,-13.73445391,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,1,2,0,0,0,0,-9.525135849999998,-19.306372519999996,-13.159120799999997,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,2,2,0,0,0,0,-8.951581919999995,-18.546635280000004,-14.525356810000005,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,3,2,0,0,0,0,-8.532220809999998,-19.644795869999996,-14.663727269999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,4,2,0,0,0,0,-9.077988840000003,-18.90714484,-14.949600930000003,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,5,2,0,0,0,0,-8.332479680000006,-19.225487720000004,-14.47551747,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,6,2,0,0,0,0,-8.433480590000002,-18.195790540000004,-13.429672150000002,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,8,True,True,7,2,0,0,0,0,-8.996955310000004,-19.275541810000007,-14.613617230000003,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,0,2,0,0,0,0,-8.294629649999997,-18.86750526,-13.451558219999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,1,2,0,0,0,0,-9.928645320000001,-19.867171979999995,-13.77821471,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,2,2,0,0,0,0,-9.018645839999998,-18.486178600000002,-13.301370770000005,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,3,2,0,0,0,0,-8.298839209999997,-19.824911150000005,-14.948717939999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,4,2,0,0,0,0,-8.85489467,-18.64704474,-14.081982319999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,5,2,0,0,0,0,-8.183028030000003,-18.043402990000004,-13.248012939999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,6,2,0,0,0,0,-8.25910382,-19.415485919999995,-14.642117749999997,0,0,0
2023_04_19_16_53_37_132706,,1500,50,78.56MHz,10,True,True,7,2,0,0,0,0,-8.328535160000001,-19.17693783,-14.676987049999994,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,0,2,0,0,0,0,-9.133013380000001,-18.599651370000004,-14.926580349999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,1,2,0,0,0,0,-8.747644280000003,-19.94371493,-14.334216060000003,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,2,2,0,0,0,0,-9.54763139,-18.242155100000005,-14.800870970000005,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,3,2,0,0,0,0,-8.523700220000002,-18.031824580000006,-13.557807229999995,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,4,2,0,0,0,0,-8.704977849999999,-19.808985699999994,-13.935090380000005,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,5,2,0,0,0,0,-8.465935860000002,-18.783665580000005,-14.279164739999999,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,6,2,0,0,0,0,-9.673259459999997,-18.30174298,-14.24910731,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,6,True,True,7,2,0,0,0,0,-9.216094220000002,-18.148717750000003,-14.133934229999994,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,0,2,0,0,0,0,-8.744333869999998,-18.522317779999995,-13.534548219999998,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,1,2,0,0,0,0,-8.604278489999999,-18.89264333,-13.208897839999999,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,2,2,0,0,0,0,-9.948503199999998,-19.235959159999993,-13.007917200000001,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,3,2,0,0,0,0,-8.294318910000001,-18.78124441,-14.793183730000003,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,4,2,0,0,0,0,-8.82624414,-18.39157292,-14.627746449999997,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,5,2,0,0,0,0,-9.401273019999998,-19.444087839999995,-14.437690859999996,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,6,2,0,0,0,0,-9.371828909999998,-18.11432793,-13.889057450000003,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,8,True,True,7,2,0,0,0,0,-8.708597390000001,-18.984696040000003,-14.479493900000001,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,0,2,0,0,0,0,-8.069335989999999,-19.892952519999994,-13.053163259999998,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,1,2,0,0,0,0,-8.61066126,-18.761387749999997,-13.70796875,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,2,2,0,0,0,0,-9.696249709999996,-19.359934170000002,-14.057063329999998,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,3,2,0,0,0,0,-8.656024459999998,-18.656728,-13.66265309,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,4,2,0,0,0,0,-9.102835169999999,-19.1609165,-13.471542229999997,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,5,2,0,0,0,0,-9.85941219,-18.509168000000003,-13.880274620000002,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,6,2,0,0,0,0,-9.049853460000001,-19.375714470000005,-14.045321719999997,0,0,0
2023_04_19_16_53_37_132706,,1500,50,2.311MHz,10,True,True,7,2,0,0,0,0,-8.408338219999997,-19.896455689999996,-14.596919309999997,0,0,0
